Word 1	Word 2	avg_path_similarity	median_path_similarity	avg_wup_similarity	median_wup_similarity	avg_res_similarity	median_res_similarity	avg_jcn_similarity	median_jcn_similarity	avg_lin_similarity	median_lin_similarity
cane	orso	0.09274863208686739	0.08333333333333333	0.2036846959681459	0.15384615384615385	0.998670504297648	0.6143639493869085	0.035911195133710425	0.05028810929969802	0.03328898363894033	6.143639493869085e-301
cavallo	orso	0.08205764570444653	0.07692307692307693	0.1766739610968758	0.14285714285714285	0.6805921911464394	0.0	0.012137872394497078	1e-300	0.036469686557682096	0.0
orso	scimmia	0.11482643546111038	0.09090909090909091	0.2290383894894933	0.18181818181818182	0.37208109885057455	0.0	0.044781483127309	0.05073949741577603	0.01744361583751042	0.0
gufo	orso	0.07039222759810994	0.06666666666666667	0.18954022161762102	0.125	3.5103667600938815	3.5103667600938815	0.041536713747391936	0.041536713747391936	0.23169898767714397	0.23169898767714397
coniglio	orso	0.08790592949648678	0.07692307692307693	0.18004406120735145	0.15384615384615385	0.7440683259740428	0.0	0.005206799078679647	1e-300	0.02769460909069794	0.0
gabbiano	orso	0.05770425767329792	0.05555555555555555	0.16379716969190652	0.10526315789473684	3.5103667600938815	3.5103667600938815	0.03806288588106229	0.03806288588106229	0.22088169417427705	0.22088169417427705
orso	passero	0.06587898141303714	0.0625	0.18054074654848642	0.11764705882352941	3.5103667600938815	3.5103667600938815	0.019031442940531145	1e-300	0.11044084708713853	7.020733520187764e-300
elefante	orso	0.07151198403133388	0.06458333333333333	0.161870522427125	0.1213235294117647	1.8590196842239086	0.9115257914775825	0.022307778798625458	1e-300	0.1251069924129265	1.8230515829551648e-300
gatto	orso	0.09171695056612274	0.07692307692307693	0.19505708541170919	0.15384615384615385	0.7994294417673201	0.0	0.023838244692484273	1e-300	0.03703025035308342	0.0
leone	orso	0.08830625829851833	0.08333333333333333	0.2057313622050464	0.16666666666666666	2.358632577381047	1.823051582955165	0.015008575601475302	1e-300	0.0794156888457516	2.9922517013163064e-300
maiale	orso	0.10614749944471305	0.08333333333333333	0.21990494623036763	0.15384615384615385	0.865672637237286	0.0	0.004075319432409433	1e-300	0.016809177977801803	0.0
mucca	orso	0.07933689552135842	0.07142857142857142	0.18345845937822994	0.1380952380952381	1.4991376518888466	0.0	0.009930482557533947	1e-300	0.053880139903912404	0.0
orso	serpente	0.11545023807891457	0.1	0.22829123566778364	0.2	0.3480284987237338	0.0	0.015304998384863967	1e-300	0.011092941006455038	0.0
orso	tigre	0.08838916587368598	0.08712121212121213	0.2132509361983046	0.17424242424242425	3.2010765384261233	1.8631771143108016	0.04028293249042837	0.02514405464984901	0.19288919801742932	0.07747275171374428
orso	topo	0.10001772993146887	0.08333333333333333	0.20304125058454936	0.16025641025641024	0.40887098584337433	0.0	0.023693403760392976	1e-300	0.015803693316194415	0.0
orso	poltrona	0.06856658047834517	0.07142857142857142	0.15961562402738874	0.13333333333333333	1.369590276578745	1.369590276578745	0.0263149866243508	0.0263149866243508	0.06299932760118095	0.06299932760118095
letto	orso	0.11065554522568097	0.1	0.21404192762497537	0.18181818181818182	0.33121035405722477	0.0	0.019178541446316914	1e-300	0.006010445650696506	0.0
orso	scopa	0.0938813517637047	0.07692307692307693	0.1964573721657313	0.15384615384615385	0.3134808401555672	0.0	0.021995401404760265	1e-300	0.003815795729325546	0.0
orso	sedia	0.08468256124271162	0.07692307692307693	0.17573976065207336	0.15384615384615385	0.47083918283682125	0.0	0.023447469297675865	1e-300	0.026023334970796896	0.0
camicia	orso	0.1026121101121101	0.08333333333333333	0.20158343118869435	0.17424242424242425	0.182612036877166	0.0	0.0437279607741702	0.05037324087527126	0.008796793876170772	0.0
armadio	orso	0.10170602817661642	0.1	0.19508488587435954	0.2	0.456530092192915	0.0	0.01577099182379485	1e-300	0.02082512494357678	0.0
orso	pettine	0.10103118201028419	0.09090909090909091	0.19369169642221198	0.16666666666666666	0.16195544701760436	0.0	0.0396264193599442	0.05037324087527126	0.0035575861455383593	0.0
giacca	orso	0.09860433994887775	0.08333333333333333	0.19798129513194027	0.16666666666666666	0.3384847253167716	0.0	0.020976004943257114	1e-300	0.01031124998673357	0.0
orso	pennello	0.07954045954045955	0.08333333333333333	0.1810122333806544	0.15384615384615385	1.369590276578745	1.369590276578745	7.5e-301	7.5e-301	2.0543854148681177e-300	2.0543854148681177e-300
orso	spada	0.07364468864468862	0.07692307692307693	0.16962128664174697	0.14285714285714285	1.369590276578745	1.369590276578745	0.027543229103630808	0.027543229103630808	0.06555427754163913	0.06555427754163913
gomma	orso	0.1072159395799378	0.08333333333333333	0.20745924918857248	0.15384615384615385	0.46413032421826544	0.0	0.002078658771608331	1e-300	0.0024123914437369186	0.0
